销售量,品类
4.85,水生根茎类
4.6,水生根茎类
9.572,水生根茎类
5.439,水生根茎类
4.019,水生根茎类
3.0890000000000004,水生根茎类
3.1170000000000004,水生根茎类
10.605,水生根茎类
2.1060000000000003,水生根茎类
9.024999999999999,水生根茎类
8.928,水生根茎类
13.993999999999996,水生根茎类
11.605,水生根茎类
9.007000000000001,水生根茎类
10.238,水生根茎类
11.353999999999996,水生根茎类
10.726999999999997,水生根茎类
10.418,水生根茎类
11.123999999999997,水生根茎类
9.547999999999998,水生根茎类
12.744000000000005,水生根茎类
10.849999999999998,水生根茎类
30.417,水生根茎类
11.74,水生根茎类
10.424000000000001,水生根茎类
12.988000000000001,水生根茎类
17.264999999999993,水生根茎类
13.959000000000001,水生根茎类
18.597,水生根茎类
10.644999999999998,水生根茎类
19.062,水生根茎类
21.432,水生根茎类
56.153999999999996,水生根茎类
15.555,水生根茎类
26.207999999999995,水生根茎类
21.45200000000001,水生根茎类
19.115000000000002,水生根茎类
25.414999999999992,水生根茎类
27.46100000000001,水生根茎类
25.90000000000001,水生根茎类
30.683000000000003,水生根茎类
20.458000000000002,水生根茎类
27.355000000000004,水生根茎类
19.324,水生根茎类
29.990999999999996,水生根茎类
25.641999999999996,水生根茎类
24.454,水生根茎类
15.915999999999997,水生根茎类
21.753,水生根茎类
17.949999999999996,水生根茎类
22.966000000000005,水生根茎类
34.598000000000006,水生根茎类
42.772000000000006,水生根茎类
46.057000000000016,水生根茎类
20.305000000000007,水生根茎类
20.062,水生根茎类
18.95,水生根茎类
19.486999999999995,水生根茎类
20.996999999999993,水生根茎类
65.814,水生根茎类
30.005000000000006,水生根茎类
52.94899999999999,水生根茎类
47.65799999999999,水生根茎类
17.941000000000006,水生根茎类
15.995999999999997,水生根茎类
16.635,水生根茎类
42.55400000000001,水生根茎类
46.96300000000001,水生根茎类
38.925999999999995,水生根茎类
19.127,水生根茎类
12.161,水生根茎类
14.492,水生根茎类
13.363999999999997,水生根茎类
16.957,水生根茎类
18.738999999999997,水生根茎类
17.361000000000004,水生根茎类
19.219000000000005,水生根茎类
18.818,水生根茎类
17.437,水生根茎类
11.389,水生根茎类
39.431000000000004,水生根茎类
39.55100000000001,水生根茎类
16.288999999999998,水生根茎类
37.808,水生根茎类
18.628999999999994,水生根茎类
51.885999999999996,水生根茎类
22.732,水生根茎类
65.74400000000004,水生根茎类
28.288999999999998,水生根茎类
11.861,水生根茎类
24.135,水生根茎类
36.83899999999999,水生根茎类
55.355999999999995,水生根茎类
21.930999999999997,水生根茎类
18.497,水生根茎类
19.254,水生根茎类
79.75199999999995,水生根茎类
25.783999999999995,水生根茎类
52.907,水生根茎类
31.95200000000001,水生根茎类
51.475999999999985,水生根茎类
22.069999999999997,水生根茎类
57.223,水生根茎类
38.333000000000006,水生根茎类
50.519,水生根茎类
46.20699999999998,水生根茎类
